REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHANGE_TYPE_CAT,KEEP_UP_CODE
2008,1000005001,Secondary,"Lagoon, Aerated",1,Y,Y,No Change,N,,,,1,,Abandonment,0
2008,1000007001,Advanced,Filter (Activated Bio-),1,Y,Y,No Change,N,,,,1,,Expansion,1
2008,1000007001,Disinfection,"Disinfection, Other",1,Y,Y,No Change,N,,,,1,,"Expansion, Process Improvement",1
2008,1000007001,Preliminary,"Equalization, At POTW",2,Y,Y,No Change,N,,,,1,,"Expansion, Process Improvement, Update",1
2008,1000007001,Preliminary,"Pumping, Influent",4,Y,Y,No Change,N,,,,1,,"Expansion, Update",1
2008,1000007001,Preliminary,"Screen, Bar",1,Y,Y,No Change,N,,,,1,,Increase Capacity,1
2008,1000007001,Preliminary,Vortex Solids Separator,3,Y,Y,No Change,N,,,,1,,"Increase Capacity, Expansion",1
2008,1000007001,Primary,Aeration (post-treatment),3,Y,Y,No Change,N,,,,1,,"Increase Capacity, Expansion, Instrumentation/Electrical/Laboratory",1
2008,1000007001,Primary,Aeration (pre-treatment),1,Y,Y,No Change,N,,,,1,,"Increase Capacity, Expansion, Process Improvement",1
2008,1000007001,Primary,"Clarification, Intermediate",2,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment",1
2008,1000007001,Secondary,"Activated Sludge, Conventional",1,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Expansion",1
2008,1000007001,Secondary,"Clarification, Secondary",2,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Expansion, Instrumentation/Electrical/Laboratory",1
2008,1000007001,Solids Handling,Biosolids Anaerobic Digestion,2,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Expansion, Process Improvement",1
2008,1000007001,Solids Handling,Biosolids Land Treatment (Spreading),5,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Process Improvement",1
2008,1000007001,Solids Handling,Biosolids Mechanical Dewatering (Centrifuge),3,Y,Y,Update,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Process Improvement, Instrumentation/Electrical/Laboratory",1
2008,1000007001,Solids Handling,Biosolids Other Dewatering,4,Y,Y,Update,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Process Improvement, Instrumentation/Electrical/Laboratory, Update",1
2008,1000007001,Solids Handling,"Biosolids Thickening, Gravity",1,Y,Y,No Change,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation",1
2008,1000027001,Advanced,"Phosphorus Removal, Biological",1,Y,Y,Increase Level Of Treatment,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation, Expansion, Process Improvement",1
2008,1000027001,Preliminary,"Screen, Bar",1,Y,Y,Increase Capacity,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation, Instrumentation/Electrical/Laboratory",1
2008,1000027001,Primary,"Clarification, Intermediate",1,Y,Y,Increase Level Of Treatment,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation, Process Improvement",1
2008,1000027001,Secondary,"Activated Sludge, Extended Aeration",1,Y,Y,"Increase Capacity, Increase Level Of Treatment",N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation, Process Improvement, Instrumentation/Electrical/Laboratory",1
2008,1000027001,Solids Handling,Biosolids Other Dewatering,1,Y,Y,Increase Level Of Treatment,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Rehabilitation, Replacement, Process Improvement, Instrumentation/Electrical/Laboratory",1
2008,1000027001,Ultraviolet Radiation,"Disinfection, UV Radiation",1,Y,Y,Increase Capacity,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Replacement",1
2008,1000027002,Advanced,"Phosphorus Removal, Biological",1,Y,Y,Increase Level Of Treatment,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Replacement, Expansion",1
2008,1000027002,Preliminary,"Screen, Bar",1,Y,Y,Rehabilitation,N,,,,1,,"Increase Capacity, Increase Level Of Treatment, Replacement, Process Improvement",1
2008,1000027002,Primary,"Sedimentation, Primary",1,Y,Y,Increase Capacity,N,,,,1,,"Increase Capacity, Instrumentation/Electrical/Laboratory",1
2008,1000027002,Secondary,"Activated Sludge, Extended Aeration",1,Y,Y,"Rehabilitation, Replacement",N,,,,1,,"Increase Capacity, Process Improvement",1
2008,1000039001,Secondary,"Lagoon, Aerated",1,Y,Y,"Rehabilitation, Process Improvement",N,,,,1,,"Increase Capacity, Process Improvement, Instrumentation/Electrical/Laboratory",1
2008,1000040001,Preliminary,"Screen, Bar",1,Y,Y,"Increase Capacity, Increase Level Of Treatment",N,,,,1,,"Increase Capacity, Process Improvement, Update",1
2008,1000040001,Secondary,"Clarification, Secondary",1,Y,Y,"Increase Capacity, Increase Level Of Treatment",N,,,,1,,"Increase Capacity, Rehabilitation",1
2008,1000040001,Secondary,"Lagoon, Aerated",1,Y,Y,"Increase Capacity, Increase Level Of Treatment",N,,,,1,,"Increase Capacity, Rehabilitation, Expansion",1
2008,1000040001,Ultraviolet Radiation,"Disinfection, Ultraviolet",1,Y,Y,Increase Capacity,N,,,,1,,"Increase Capacity, Rehabilitation, Expansion, Process Improvement",1
2008,1000043001,Advanced,Reactor (Oxidation Ditch),1,N,Y,New,N,,,,1,,"Increase Capacity, Rehabilitation, Instrumentation/Electrical/Laboratory",1
