"CWNS_ID","FACILITY_ID","STATE_CODE","FACILITY_TYPE","CHANGE_TYPE"
"29003480001",1133972,MO,Collection: Separate Sewers,Rehabilitation
"21000083001",1139547,KY,Collection: Separate Sewers,Rehabilitation
"21000083001",1139547,KY,Collection: Separate Sewers,Replacement
"21000120002",1139588,KY,Treatment Plant,Rehabilitation
"21000120002",1139588,KY,Treatment Plant,Replacement
"21000120002",1139588,KY,Treatment Plant,Process Improvement
"21000120002",1139588,KY,Collection: Pump Stations,Rehabilitation
"21000120002",1139588,KY,Collection: Pump Stations,Replacement
"21000163001",1139605,KY,Collection: Pump Stations,Rehabilitation
"21000163001",1139605,KY,Collection: Pump Stations,Replacement
"23000149001",1142584,ME,Treatment Plant,No Change
"31010123002",3600830,NE,Storage Tanks,No Change
"09001320002",3600848,CT,Onsite Wastewater Treatment System,No Change
"48003007001",1227802,TX,Treatment Plant,No Change
"31000209001",1230174,NE,Treatment Plant,Rehabilitation
"31000209001",1230174,NE,Treatment Plant,Replacement
"31000209001",1230174,NE,Treatment Plant,Process Improvement
"31000209001",1230174,NE,Treatment Plant,Instrumentation/Electrical/Laboratory
"31000209001",1230174,NE,Treatment Plant,Improve Water Efficiency
"31000437001",1230179,NE,Treatment Plant,Rehabilitation
"31000437001",1230179,NE,Treatment Plant,Process Improvement
"31000437001",1230179,NE,Treatment Plant,Improve Water Efficiency
"31000651001",1230194,NE,Collection: Separate Sewers,No Change
"19000008001",1234632,IA,Treatment Plant,No Change
"13000054001",1239500,GA,Treatment Plant,Rehabilitation
"13000054001",1239500,GA,Treatment Plant,Increase Capacity
"53002560001",1181086,WA,Treatment Plant,No Change
"53002560001",1181086,WA,Collection: Separate Sewers,Rehabilitation
"53002560001",1181086,WA,Collection: Separate Sewers,Replacement
"48000134001",1182820,TX,Collection: Separate Sewers,No Change
"48003069001",1183223,TX,Collection: Separate Sewers,No Change
"48003108001",1183253,TX,Treatment Plant,No Change
"48005060001",1183612,TX,Treatment Plant,Rehabilitation
"48005060001",1183612,TX,Treatment Plant,Instrumentation/Electrical/Laboratory
"48007039078",1183848,TX,Collection: Separate Sewers,No Change
"09000300001",1071802,CT,Onsite Wastewater Treatment System,Rehabilitation
"09000300001",1071802,CT,Onsite Wastewater Treatment System,Replacement
"09000300001",1071802,CT,Onsite Wastewater Treatment System,Expansion
"34001324001",1073421,NJ,Treatment Plant,Abandonment
"34002002001",1073499,NJ,Collection: Separate Sewers,Rehabilitation
"34002002001",1073499,NJ,Collection: Separate Sewers,Replacement
"34002002001",1073499,NJ,Collection: Separate Sewers,Process Improvement
"34005118001",1073746,NJ,Treatment Plant,No Change
"34006311001",1073835,NJ,Collection: Separate Sewers,No Change
"39008374004",1081628,OH,Treatment Plant,No Change
"26001002001",1088658,MI,Collection: Combined Sewers,Rehabilitation
"26001002001",1088658,MI,Collection: Combined Sewers,Replacement
"26002125001",1088789,MI,Collection: Separate Sewers,No Change
"25000067001",1092368,MA,Collection: Separate Sewers,Replacement
"54000102001",1094689,WV,Treatment Plant,Rehabilitation
"54003501001",1095128,WV,Collection: Separate Sewers,Rehabilitation
"54003501001",1095128,WV,Collection: Separate Sewers,Replacement
"48003134001",3164008,TX,Treatment Plant,No Change
"48003134001",3164008,TX,Collection: Separate Sewers,No Change
"21000728006",3419213,KY,Treatment Plant,No Change
"21000728006",3419213,KY,Collection: Pump Stations,No Change
"12000701013",3501031,FL,Onsite Wastewater Treatment System,New
"35200900004",3504260,NM,Collection: Combined Sewers,No Change
"26000520000",3510356,MI,Collection: Combined Sewers,Rehabilitation
"26000520000",3510356,MI,Collection: Combined Sewers,Replacement
"18120000038",3525096,IN,Treatment Plant,No Change
"55005400002",3538902,WI,Phase II MS4,Rehabilitation
"55005400002",3538902,WI,Phase II MS4,Redevelopment
"55005400002",3538902,WI,Phase II MS4,Increase Capacity
"55005400002",3538902,WI,Phase II MS4,Increase Level Of Treatment
"13000999027",3540116,GA,Collection: Separate Sewers,Rehabilitation
"13000999027",3540116,GA,Collection: Separate Sewers,Replacement
"18120000071",3541715,IN,Collection: Separate Sewers,No Change
"36001015014",1220271,NY,Collection: Separate Sewers,Rehabilitation
"36001015014",1220271,NY,Collection: Separate Sewers,Expansion
"36003049001",1220413,NY,Collection: Separate Sewers,No Change
"35000049001",1145065,NM,Collection: Separate Sewers,No Change
"31001252001",1145926,NE,Treatment Plant,New
"27005603001",1148352,MN,Biosolids Handling Facility,No Change
"27005806001",1148364,MN,Collection: Pump Stations,No Change
"37000101001",1153088,NC,Treatment Plant,Rehabilitation
"37000101001",1153088,NC,Treatment Plant,Increase Capacity
"37007201001",1153595,NC,Treatment Plant,No Change
"37008602001",1153722,NC,Treatment Plant,No Change
"41000105001",1164360,OR,Collection: Separate Sewers,No Change
"22003005001",1168289,LA,Collection: Pump Stations,No Change
"31010009001",406075,NE,Storage Tanks,No Change
"18000008036",417916,IN,Onsite Wastewater Treatment System,No Change
"55001921002",425785,WI,Phase II MS4,Rehabilitation
"55001921002",425785,WI,Phase II MS4,Redevelopment
"55001921002",425785,WI,Phase II MS4,Increase Capacity
"55001921002",425785,WI,Phase II MS4,Increase Level Of Treatment
"55000380010",427918,WI,Phase II MS4,Rehabilitation
"55000380010",427918,WI,Phase II MS4,Redevelopment
"55000380010",427918,WI,Phase II MS4,Increase Capacity
"55000380010",427918,WI,Phase II MS4,Increase Level Of Treatment
"34003525011",442343,NJ,Phase II MS4,Rehabilitation
"34003525011",442343,NJ,Phase II MS4,Replacement
"34003525011",442343,NJ,Phase II MS4,Redevelopment
"34001474011",442585,NJ,Phase I MS4,Rehabilitation
"34001474011",442585,NJ,Phase I MS4,Replacement
"34001474011",442585,NJ,Phase I MS4,Redevelopment
"34001474011",442585,NJ,Phase I MS4,Expansion
"34001474011",442585,NJ,Phase I MS4,Process Improvement
"31001780001",3344436,NE,Collection: Separate Sewers,No Change
"17002040001",3500020,IL,Treatment Plant,Replacement
"55000410010",3500120,WI,Unregulated Community Stormwater,No Change
"08209000039",3500191,CO,Collection: Separate Sewers,No Change
"53200802095",3507411,WA,Phase II MS4,Process Improvement
"40000528001",1172745,OK,Collection: Separate Sewers,Rehabilitation
"06002074001",1175336,CA,Treatment Plant,No Change
"06003012001",1175381,CA,Treatment Plant,Rehabilitation
"06003012001",1175381,CA,Treatment Plant,Replacement
"06003012001",1175381,CA,Treatment Plant,Improve Energy Efficiency
"06004010004",1175494,CA,Treatment Plant,Rehabilitation
"06008016001",1175967,CA,Collection: Separate Sewers,Rehabilitation
"06008016001",1175967,CA,Collection: Separate Sewers,Replacement
"53002505001",1181077,WA,Collection: Separate Sewers,No Change
"48005092001",1183642,TX,Collection: Separate Sewers,No Change
"19000051001",1123498,IA,Collection: Separate Sewers,No Change
"19000464001",1123856,IA,Collection: Separate Sewers,No Change
"19000614002",1123992,IA,Treatment Plant,Process Improvement
"19000614002",1123992,IA,Treatment Plant,Increase Level Of Treatment
"20000499013",1130324,KS,Collection: Separate Sewers,No Change
"29001106001",1133387,MO,Collection: Separate Sewers,No Change
"29001216001",1133547,MO,Treatment Plant,Abandonment
"06000000082",3607552,CA,Collection: Separate Sewers,Rehabilitation
"06000000082",3607552,CA,Collection: Separate Sewers,Replacement
"06000000082",3607552,CA,Collection: Separate Sewers,Expansion
"29000000204",3607779,MO,Phase II MS4,Increase Capacity
"29000000204",3607779,MO,Phase II MS4,Expansion
"36000000369",3608082,NY,Collection: Separate Sewers,No Change
"38000032001",1151285,ND,Treatment Plant,No Change
"29001009001",1133239,MO,Collection: Pump Stations,Replacement
"06000000171",3609136,CA,Water Reuse,No Change
"06000000176",3609213,CA,Collection: Separate Sewers,Rehabilitation
"06000000176",3609213,CA,Collection: Separate Sewers,Replacement
"08000304001",1067090,CO,Biosolids Handling Facility,Rehabilitation
"08000304001",1067090,CO,Biosolids Handling Facility,Increase Capacity
"08000304001",1067090,CO,Biosolids Handling Facility,Process Improvement
"56000000048",3609347,WY,Sanitary Landfills,Rehabilitation
"08000000066",3608150,CO,Hydromodification,New
"29000000028",3607379,MO,Treatment Plant,No Change
"01000000109",3607627,AL,Collection: Separate Sewers,Rehabilitation
"01000000109",3607627,AL,Collection: Separate Sewers,Replacement
"01000000109",3607627,AL,Collection: Separate Sewers,Instrumentation/Electrical/Laboratory
"01000000109",3607627,AL,Collection: Separate Sewers,Improve Energy Efficiency
"27000000112",3609105,MN,Onsite Wastewater Treatment System,Replacement
"27000000112",3609105,MN,Onsite Wastewater Treatment System,Expansion
"29001148006",3213328,MO,Collection: Pump Stations,Replacement
"27005804001",1148362,MN,Biosolids Handling Facility,No Change
"37000000068",3609572,NC,Unregulated Community Stormwater,Rehabilitation
"37000000068",3609572,NC,Unregulated Community Stormwater,Increase Capacity
"37000000068",3609572,NC,Unregulated Community Stormwater,Process Improvement
"37000000068",3609572,NC,Unregulated Community Stormwater,Increase Level Of Treatment
"22000950004",3606678,LA,Treatment Plant,Replacement
"29000000176",3607741,MO,Phase II MS4,No Change
"56000000026",3609309,WY,Sanitary Landfills,Rehabilitation
"37000000084",3609629,NC,Unregulated Community Stormwater,Rehabilitation
"37000000084",3609629,NC,Unregulated Community Stormwater,Replacement
"37000000084",3609629,NC,Unregulated Community Stormwater,Increase Capacity
"37000000084",3609629,NC,Unregulated Community Stormwater,Process Improvement
"27000000134",3610303,MN,Collection: Pump Stations,No Change
"22000000081",3606803,LA,Collection: Pump Stations,Rehabilitation
"06002036001",1175294,CA,Collection: Interceptor Sewers,Rehabilitation
"06002036001",1175294,CA,Collection: Interceptor Sewers,Replacement
"38000000004",3607476,ND,Unregulated Community Stormwater,Rehabilitation
"38000000004",3607476,ND,Unregulated Community Stormwater,Expansion
"41000000051",3608430,OR,Hydromodification,Process Improvement
"41000000051",3608430,OR,Hydromodification,Increase Level Of Treatment
"41000000051",3608430,OR,Hydromodification,Climate Change Adaptation
"53001620001",1180980,WA,Treatment Plant,Rehabilitation
"53001620001",1180980,WA,Treatment Plant,Improve Energy Efficiency
"08201200018",3527056,CO,Water Reuse,Rehabilitation
"08201200018",3527056,CO,Water Reuse,Increase Capacity
"06000000166",3609120,CA,Phase II MS4,Rehabilitation
"06000000166",3609120,CA,Phase II MS4,Replacement
"51000308001",1192943,VA,Collection: Pump Stations,Rehabilitation
"51000308001",1192943,VA,Collection: Pump Stations,Replacement
"18000378001",1120176,IN,Treatment Plant,No Change
"29000000030",3607386,MO,Treatment Plant,No Change
"36000000253",3606755,NY,Collection: Separate Sewers,New
"29000000316",3608168,MO,Collection: Separate Sewers,New
"41000000054",3608453,OR,Hydromodification,Rehabilitation
"19000914001",1124251,IA,Storage Facility,No Change
"13000000476",3608963,GA,Collection: Separate Sewers,Rehabilitation
"53002370001",1181059,WA,Collection: Separate Sewers,No Change
"04000000148",3609725,AZ,Water Reuse,Process Improvement
"08000157002",1066951,CO,Treatment Plant,No Change
"08000173001",1066967,CO,Collection: Separate Sewers,Rehabilitation
"08000173001",1066967,CO,Collection: Separate Sewers,Replacement
"18000807001",1120219,IN,Collection: Separate Sewers,No Change
"19000275001",1123689,IA,Collection: Separate Sewers,No Change
"20000130001",1130139,KS,Collection: Separate Sewers,No Change
"20000315001",1130220,KS,Treatment Plant,No Change
"20000315001",1130220,KS,Collection: Separate Sewers,No Change
"29001049001",1133330,MO,Treatment Plant,No Change
"29001049001",1133330,MO,Collection: Separate Sewers,No Change
"29002233001",1133744,MO,Treatment Plant,Process Improvement
"29002233001",1133744,MO,Treatment Plant,Increase Level Of Treatment
"29002489002",1133865,MO,Treatment Plant,No Change
"29002489002",1133865,MO,Collection: Separate Sewers,Rehabilitation
"36005018001",1220833,NY,Collection: Pump Stations,No Change
"36008117001",1221288,NY,Collection: Separate Sewers,No Change
"36009066001",1221381,NY,Treatment Plant,No Change
"31000185001",1230171,NE,Treatment Plant,Rehabilitation
"31000185001",1230171,NE,Treatment Plant,Process Improvement
"31000185001",1230171,NE,Treatment Plant,Improve Water Efficiency
"27000244001",1231501,MN,Treatment Plant,No Change
"27009903001",1231570,MN,Collection: Separate Sewers,No Change
"17005203001",1232742,IL,Collection: Separate Sewers,No Change
"17005203001",1232742,IL,Collection: Pump Stations,No Change
