"CWNS_ID","FACILITY_ID","STATE_CODE","FACILITY_TYPE","CHANGE_TYPE"
"29003078001",1233270,MO,Collection: Separate Sewers,No Change
"29004999001",1233312,MO,Treatment Plant,No Change
"18004151001",1234198,IN,Treatment Plant,No Change
"18004151001",1234198,IN,Collection: Separate Sewers,No Change
"51000072001",1235965,VA,Treatment Plant,Process Improvement
"26004006003",1089015,MI,Collection: Separate Sewers,No Change
"50000036001",1094086,VT,Collection: Separate Sewers,No Change
"54001708001",1094846,WV,Collection: Separate Sewers,No Change
"54005208002",1095298,WV,Collection: Combined Sewers,Rehabilitation
"54005208002",1095298,WV,Collection: Combined Sewers,Replacement
"33000034001",1100930,NH,Collection: Separate Sewers,No Change
"01000161001",1101992,AL,Treatment Plant,No Change
"17000047001",1113337,IL,Collection: Separate Sewers,No Change
"17000145001",1113419,IL,Treatment Plant,No Change
"20001527001",1130642,KS,Treatment Plant,No Change
"29003709003",1134000,MO,Collection: Separate Sewers,No Change
"23000090002",1142530,ME,Collection: Separate Sewers,Rehabilitation
"23000090002",1142530,ME,Collection: Separate Sewers,Replacement
"31000635001",1145850,NE,Collection: Separate Sewers,Rehabilitation
"31000635001",1145850,NE,Collection: Separate Sewers,Process Improvement
"31000635001",1145850,NE,Collection: Separate Sewers,Improve Water Efficiency
"27000240001",1148096,MN,Collection: Separate Sewers,No Change
"27000360001",1148177,MN,Collection: Separate Sewers,No Change
"27007504001",1148421,MN,Collection: Separate Sewers,Rehabilitation
"38000140001",1151387,ND,Collection: Separate Sewers,No Change
"40000797002",429744,OK,Treatment Plant,No Change
"37005111001",432744,NC,Collection: Separate Sewers,No Change
"34007126011",442828,NJ,Phase II MS4,Rehabilitation
"34007126011",442828,NJ,Phase II MS4,Replacement
"34007126011",442828,NJ,Phase II MS4,Redevelopment
"34007126011",442828,NJ,Phase II MS4,Increase Capacity
"34007126011",442828,NJ,Phase II MS4,Increase Level Of Treatment
"34001452011",442864,NJ,Phase II MS4,Rehabilitation
"34001452011",442864,NJ,Phase II MS4,Replacement
"34001452011",442864,NJ,Phase II MS4,Redevelopment
"34001452011",442864,NJ,Phase II MS4,Process Improvement
"34001452011",442864,NJ,Phase II MS4,Improve Water Efficiency
"08000031001",1066834,CO,Collection: Separate Sewers,No Change
"47001430001",1166216,TN,Collection: Separate Sewers,No Change
"47003014001",1166266,TN,Collection: Separate Sewers,No Change
"22003326001",1168524,LA,Treatment Plant,Rehabilitation
"22003326001",1168524,LA,Treatment Plant,Increase Capacity
"22003326001",1168524,LA,Collection: Separate Sewers,Expansion
"40000165001",1172547,OK,Treatment Plant,Rehabilitation
"40000165001",1172547,OK,Treatment Plant,Replacement
"40000165001",1172547,OK,Treatment Plant,Process Improvement
"40000651001",1172805,OK,Collection: Separate Sewers,No Change
"40000723001",1172839,OK,Treatment Plant,Rehabilitation
"06003033001",3486842,CA,Treatment Plant,No Change
"26000458013",3514317,MI,Collection: Separate Sewers,No Change
"39000161006",3516397,OH,Treatment Plant,No Change
"08201200041",3529016,CO,Collection: Separate Sewers,Rehabilitation
"08201200041",3529016,CO,Collection: Separate Sewers,Replacement
"35201200020",3539617,NM,Collection: Separate Sewers,No Change
"37008301001",1153697,NC,Collection: Separate Sewers,No Change
"28000480001",1160302,MS,Treatment Plant,No Change
"47001376001",1166207,TN,Onsite Wastewater Treatment System,No Change
"22000940001",1168243,LA,Collection: Separate Sewers,Rehabilitation
"40000406001",1172666,OK,Collection: Separate Sewers,No Change
"40000549001",1172758,OK,Collection: Separate Sewers,No Change
"40000744001",1172851,OK,Collection: Separate Sewers,Rehabilitation
"04002710001",1069677,AZ,Treatment Plant,No Change
"34003505001",1073669,NJ,Collection: Separate Sewers,Rehabilitation
"34003505001",1073669,NJ,Collection: Separate Sewers,Replacement
"39000198001",1080620,OH,Treatment Plant,No Change
"39000359001",1080770,OH,Collection: Separate Sewers,Rehabilitation
"39000504001",1080813,OH,Collection: Separate Sewers,Rehabilitation
"39000504001",1080813,OH,Collection: Separate Sewers,Replacement
"26000927001",1088651,MI,Collection: Separate Sewers,No Change
"26003128001",1088915,MI,Collection: Separate Sewers,No Change
"25000056001",1092359,MA,Collection: Separate Sewers,No Change
"13000000476",3608963,GA,Collection: Separate Sewers,Increase Capacity
"13000000476",3608963,GA,Collection: Separate Sewers,Expansion
"06000000199",3609569,CA,Phase I MS4,Rehabilitation
"06000000199",3609569,CA,Phase I MS4,Replacement
"06000000199",3609569,CA,Phase I MS4,Process Improvement
"53000000047",3610154,WA,Hydromodification,Increase Capacity
"53000000047",3610154,WA,Hydromodification,Expansion
"53000000047",3610154,WA,Hydromodification,Process Improvement
"53000000047",3610154,WA,Hydromodification,Increase Level Of Treatment
"53000000087",3610376,WA,Hydromodification,Increase Capacity
"53000000087",3610376,WA,Hydromodification,Expansion
"53000000087",3610376,WA,Hydromodification,Process Improvement
"53000000087",3610376,WA,Hydromodification,Increase Level Of Treatment
"53000000092",3610381,WA,Hydromodification,Increase Capacity
"53000000092",3610381,WA,Hydromodification,Expansion
"53000000092",3610381,WA,Hydromodification,Process Improvement
"53000000092",3610381,WA,Hydromodification,Increase Level Of Treatment
"55005060001",1206706,WI,Collection: Pump Stations,No Change
"36000000261",3606796,NY,Unregulated Community Stormwater,New
"36007182001",1221165,NY,Collection: Pump Stations,Rehabilitation
"36000000301",3606899,NY,Unregulated Community Stormwater,New
"29000000040",3607405,MO,Collection: Separate Sewers,No Change
"29000000095",3607500,MO,Treatment Plant,No Change
"54005454001",1095324,WV,Collection: Separate Sewers,Rehabilitation
"38000000023",3608302,ND,Onsite Wastewater Treatment System,No Change
"38000000026",3608305,ND,Onsite Wastewater Treatment System,Rehabilitation
"38000000026",3608305,ND,Onsite Wastewater Treatment System,Replacement
"38000000026",3608305,ND,Onsite Wastewater Treatment System,Expansion
"08209000127",3500279,CO,Collection: Interceptor Sewers,Rehabilitation
"08209000127",3500279,CO,Collection: Interceptor Sewers,Replacement
"08209000127",3500279,CO,Collection: Interceptor Sewers,Expansion
"17000231001",1113506,IL,Storage Facility,No Change
"01000000146",3608767,AL,Treatment Plant,Rehabilitation
"22003066001",1237421,LA,Collection: Pump Stations,Rehabilitation
"04000000125",3608796,AZ,Treatment Plant,New
"45000000110",3608907,SC,Onsite Wastewater Treatment System,New
"29000000271",3607859,MO,Collection: Separate Sewers,No Change
"27009202001",1148458,MN,Collection: Pump Stations,No Change
"08000000283",3609257,CO,Unregulated Community Stormwater,New
"17000000085",3609259,IL,Phase II MS4,Rehabilitation
"17000000085",3609259,IL,Phase II MS4,Process Improvement
"17000000085",3609259,IL,Phase II MS4,Instrumentation/Electrical/Laboratory
"17000000085",3609259,IL,Phase II MS4,Improve Energy Efficiency
"27003714001",1148307,MN,Collection: Pump Stations,No Change
"53000000041",3609404,WA,Unregulated Community Stormwater,Rehabilitation
"53000000041",3609404,WA,Unregulated Community Stormwater,Increase Capacity
"53000000041",3609404,WA,Unregulated Community Stormwater,Expansion
"13000000510",3609578,GA,Collection: Separate Sewers,No Change
"35000000034",3607300,NM,Treatment Plant,No Change
"22000000125",3607511,LA,Onsite Wastewater Treatment System,Rehabilitation
"22000000125",3607511,LA,Onsite Wastewater Treatment System,Replacement
"01000000116",3607889,AL,Treatment Plant,Rehabilitation
"01000000116",3607889,AL,Treatment Plant,Increase Capacity
"01000000116",3607889,AL,Treatment Plant,Process Improvement
"06002082001",1175340,CA,Water Reuse,New
"13000000442",3607988,GA,Collection: Combined Sewers,No Change
"08209000023",3500174,CO,Collection: Interceptor Sewers,Rehabilitation
"08209000023",3500174,CO,Collection: Interceptor Sewers,Replacement
"06003037001",1175402,CA,Water Reuse,Rehabilitation
"13000000489",3609303,GA,Collection: Separate Sewers,Rehabilitation
"13000000489",3609303,GA,Collection: Separate Sewers,Replacement
"13000000489",3609303,GA,Collection: Separate Sewers,Expansion
"29000000317",3608171,MO,Collection: Separate Sewers,Rehabilitation
"19000494001",1123884,IA,Collection: Combined Sewers,No Change
"41000000056",3608456,OR,Hydromodification,Rehabilitation
"45000000091",3608888,SC,Onsite Wastewater Treatment System,New
"06003044001",1175412,CA,Water Reuse,Rehabilitation
"06003044001",1175412,CA,Water Reuse,Replacement
"08000082001",1066886,CO,Collection: Interceptor Sewers,Rehabilitation
"08000082001",1066886,CO,Collection: Interceptor Sewers,Replacement
"50000000041",3609144,VT,Treatment Plant,Rehabilitation
"12000000057",3609676,FL,Treatment Plant,Rehabilitation
"12000000057",3609676,FL,Treatment Plant,Replacement
"13000000538",3609732,GA,Collection: Pump Stations,Rehabilitation
"13000000538",3609732,GA,Collection: Pump Stations,Replacement
"13000000538",3609732,GA,Collection: Pump Stations,Increase Capacity
"13000000538",3609732,GA,Collection: Pump Stations,Process Improvement
"13000000563",3610294,GA,Collection: Pump Stations,No Change
"33000063001",1100953,NH,Collection: Pump Stations,No Change
"29000000065",3607438,MO,Collection: Separate Sewers,No Change
"13000000416",3607643,GA,Onsite Wastewater Treatment System,Rehabilitation
"13000000416",3607643,GA,Onsite Wastewater Treatment System,Replacement
"38000000019",3607680,ND,Phase II MS4,Rehabilitation
"37000000007",3607719,NC,Phase II MS4,Rehabilitation
"29000000183",3607755,MO,Phase II MS4,No Change
"29000000186",3607759,MO,Phase II MS4,No Change
"17000000063",3608786,IL,Treatment Plant,New
"22003094002",3507264,LA,Collection: Pump Stations,Rehabilitation
"19000000148",3609418,IA,Phase II MS4,Rehabilitation
"19000000148",3609418,IA,Phase II MS4,Replacement
"19000000148",3609418,IA,Phase II MS4,Expansion
"51000077001",1192665,VA,Collection: Interceptor Sewers,Rehabilitation
"51000077001",1192665,VA,Collection: Interceptor Sewers,Replacement
"04000000144",3609649,AZ,Treatment Plant,New
"22000000082",3606804,LA,Treatment Plant,New
"38000000005",3607666,ND,Phase II MS4,Increase Capacity
"54000000032",3608096,WV,Treatment Plant,New
"08000000113",3608599,CO,Sanitary Landfills,New
"08000000119",3608620,CO,Unregulated Community Stormwater,New
"08181000000",455765,CO,Collection: Interceptor Sewers,Rehabilitation
"08181000000",455765,CO,Collection: Interceptor Sewers,Replacement
"08000000196",3608795,CO,Treatment Plant,Replacement
"08000000196",3608795,CO,Treatment Plant,Increase Level Of Treatment
"45000000114",3608912,SC,Onsite Wastewater Treatment System,New
"16000054001",1128603,ID,Treatment Plant,Rehabilitation
"16000054001",1128603,ID,Treatment Plant,Process Improvement
"36000000381",3608137,NY,Collection: Separate Sewers,New
"38000000048",3608327,ND,Onsite Wastewater Treatment System,Rehabilitation
"38000000048",3608327,ND,Onsite Wastewater Treatment System,Replacement
"38000000048",3608327,ND,Onsite Wastewater Treatment System,Expansion
"22003354001",1168539,LA,Collection: Interceptor Sewers,New
"37000000026",3608831,NC,Phase II MS4,Rehabilitation
"37000000026",3608831,NC,Phase II MS4,Increase Capacity
"37000000026",3608831,NC,Phase II MS4,Increase Level Of Treatment
"56000000079",3609434,WY,Unregulated Community Stormwater,Rehabilitation
"27008902001",1148446,MN,Biosolids Handling Facility,No Change
"54003403001",1095116,WV,Collection: Pump Stations,Rehabilitation
"54003403001",1095116,WV,Collection: Pump Stations,Replacement
"31000000019",3607345,NE,Unregulated Community Stormwater,Rehabilitation
"31000000019",3607345,NE,Unregulated Community Stormwater,Redevelopment
"31000000019",3607345,NE,Unregulated Community Stormwater,Increase Capacity
"31000000019",3607345,NE,Unregulated Community Stormwater,Expansion
"31000000019",3607345,NE,Unregulated Community Stormwater,Process Improvement
"31000000019",3607345,NE,Unregulated Community Stormwater,Improve Water Efficiency
"29000000037",3607402,MO,Collection: Separate Sewers,No Change
"08000000117",3608618,CO,Unregulated Community Stormwater,New
"17000000066",3608803,IL,Phase II MS4,Rehabilitation
"41000000116",3609228,OR,Agriculture - Animals,Process Improvement
"08000500056",1067193,CO,Collection: Interceptor Sewers,Rehabilitation
"08000500056",1067193,CO,Collection: Interceptor Sewers,Replacement
"08000500056",1067193,CO,Collection: Interceptor Sewers,Expansion
"56000000058",3609379,WY,Unregulated Community Stormwater,New
"41000000121",3609439,OR,Agriculture - Cropland,Process Improvement
"54000101001",1094688,WV,Collection: Pump Stations,Rehabilitation
"54000101001",1094688,WV,Collection: Pump Stations,Replacement
"54004401001",1095232,WV,Collection: Pump Stations,Rehabilitation
"54004401001",1095232,WV,Collection: Pump Stations,Replacement
"29002452001",1133847,MO,Collection: Pump Stations,Rehabilitation
"45000252001",1157145,SC,Biosolids Handling Facility,New
"22003147001",1168409,LA,Collection: Pump Stations,Rehabilitation
"16000203001",1128726,ID,Treatment Plant,No Change
"19000599001",1123981,IA,Collection: Combined Sewers,No Change
"54000000022",3607568,WV,Collection: Separate Sewers,No Change
"35000000084",3608401,NM,Treatment Plant,New
"08000000076",3608407,CO,Treatment Plant,Rehabilitation
"08000000076",3608407,CO,Treatment Plant,Replacement
"08000000076",3608407,CO,Treatment Plant,Increase Capacity
"08000000076",3608407,CO,Treatment Plant,Increase Level Of Treatment
"08000278001",1067066,CO,Collection: Interceptor Sewers,Rehabilitation
"08000278001",1067066,CO,Collection: Interceptor Sewers,Replacement
"08000000194",3608789,CO,Unregulated Community Stormwater,New
"36000000390",3608358,NY,Collection: Interceptor Sewers,New
"27007608001",1148426,MN,Biosolids Handling Facility,No Change
"51000000136",3609412,VA,Treatment Plant,Rehabilitation
"51000000136",3609412,VA,Treatment Plant,Increase Capacity
"27044000127",425333,MN,Treatment Plant,No Change
"39000000163",3609651,OH,Treatment Plant,No Change
"22000000106",3606844,LA,Hydromodification,New
"41000009001",1164264,OR,Biosolids Handling Facility,Process Improvement
"21000349001",1235519,KY,Collection: Pump Stations,Rehabilitation
"21000349001",1235519,KY,Collection: Pump Stations,Replacement
"21000349001",1235519,KY,Collection: Pump Stations,Increase Capacity
"16000204001",1128727,ID,Treatment Plant,Increase Capacity
"16000204001",1128727,ID,Treatment Plant,Process Improvement
"16000204001",1128727,ID,Treatment Plant,Instrumentation/Electrical/Laboratory
"16000204001",1128727,ID,Treatment Plant,Increase Level Of Treatment
"29000000276",3607893,MO,Treatment Plant,Increase Level Of Treatment
"29001237044",453964,MO,Collection: Separate Sewers,No Change
"29000000287",3607938,MO,Collection: Separate Sewers,No Change
"13000000479",3608966,GA,Treatment Plant,New
"08201200063",3529916,CO,Phase II MS4,Rehabilitation
"08201200063",3529916,CO,Phase II MS4,Replacement
"08000000103",3608563,CO,Hydromodification,New
"08000000157",3608720,CO,Phase II MS4,New
"36000000466",3609653,NY,Onsite Wastewater Treatment System,Rehabilitation
"36000000466",3609653,NY,Onsite Wastewater Treatment System,Replacement
"53000128001",3022229,WA,Collection: Pump Stations,Replacement
"53000128001",3022229,WA,Collection: Pump Stations,Expansion
"06008036001",1175991,CA,Collection: Separate Sewers,Rehabilitation
"06008036001",1175991,CA,Collection: Separate Sewers,Replacement
"53000450001",1180798,WA,Collection: Separate Sewers,No Change
"48000150001",1182833,TX,Collection: Separate Sewers,No Change
"48003111003",1183257,TX,Treatment Plant,Increase Capacity
"48008048001",1184395,TX,Collection: Separate Sewers,No Change
"51000322008",3543076,VA,Phase I MS4,Rehabilitation
"51000322008",3543076,VA,Phase I MS4,Replacement
"51000322008",3543076,VA,Phase I MS4,Redevelopment
"51000322008",3543076,VA,Phase I MS4,Increase Capacity
"51000322008",3543076,VA,Phase I MS4,Expansion
"51000322008",3543076,VA,Phase I MS4,Process Improvement
"51000322008",3543076,VA,Phase I MS4,Increase Level Of Treatment
"51000322008",3543076,VA,Phase I MS4,Climate Change Adaptation
"55000880002",404322,WI,Collection: Separate Sewers,No Change
