Facility Name,PDF_File,Place ID
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,229922
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,268960
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,241479
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,220850
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,258739
