,CH4_50,N2O_50,NC_CO2_50,elec_50,NG_comb_50,NG_up_50,solids_50
G3,0.03992914129443535,0.24021259223711644,0.03808070056307078,2115.7395713417795,0.1626378618713969,0.036658977654450794,0.04328446854763175
G5,0.04178306549044828,0.23837807670843675,0.03743966162496585,2353.531652678357,0.2228703016350289,0.05021008955993743,0.0
G6,0.040537583695306786,0.237515233653877,0.03771922019751217,2226.688725046608,0.16119155288650736,0.036371273407805174,0.0
H1,0.3414644628004596,0.23888311566581005,0.0382090245456379,2026.3191323811038,0.061572139488577704,0.013860376213113165,0.032080164125630625
H1E,0.3406957953917238,0.240636687769778,0.03821135862303089,1473.2143751557355,0.061622610563204276,0.013908201525205565,0.03202934641158399
I1,0.3456795688511834,0.23913116506836468,0.038084643702466045,2451.973378666131,0.0,0.0,0.016158448465604748
I1E,0.34310247496110546,0.23738121899215958,0.03753643570333571,2043.3581237713083,0.0,0.0,0.015947921230558437
I2,0.040448313916944034,0.23600174710564994,0.03789074954889427,2496.005574891368,0.009292440856067372,0.0020952312489471827,0.015343982416921085
I3,0.041162279373665234,0.24419673262848668,0.03804128517835971,2362.5123540081477,0.019955026627979947,0.004508063477859042,0.021470061525486278
I5,0.04270487524203047,0.23816943012423464,0.03719045993013993,2576.4565754781224,0.09964319191764473,0.022490692157370692,0.0
I6,0.04228308921011605,0.23248651040973894,0.037948655441658374,2456.23956343927,0.03758759545867877,0.008543491240186813,0.0
LAGOON_AER,0.0,0.40060625931336247,0.037506607682147156,1387.2380442019016,0.0,0.0,0.015293834270576106
LAGOON_ANAER,0.8912063266361223,0.0,0.038183897692552454,658.5476859506455,0.0,0.0,0.01607567901880875
LAGOON_FAC,0.9029638636132098,0.0,0.03806480136243329,661.0603751103574,0.0,0.0,0.016024605080985202
LAGOON_UNCATEGORIZED,0.1597391145304719,0.3317819116761247,0.038338540987358075,1254.071738811235,0.0,0.0,0.015527238405525725
N1E,0.340980887176751,0.2394870090566179,0.0377271783734689,6023.406903512164,0.327079250918085,0.0737817479080485,0.03199339216319144
N2,0.04083394420563578,0.2365583503719028,0.03844840173525859,6618.767390912567,0.2538333848330627,0.057356095312350405,0.03079981853014562
O1,0.33918876845602797,0.04412137509609073,0.03777921374133517,1542.4127270258384,0.0,0.0,0.03190650217099504
O1E,0.34339670959744295,0.043523032759554575,0.038240061532867756,916.4975565507657,0.0,0.0,0.03213279457100532
O2,0.04181948294885927,0.043727046906958784,0.03811375296167117,1966.982402052371,0.00929033512235,0.0020965941174729795,0.03105409012396594
O3,0.042161216841490656,0.04369178469312222,0.038058572085347436,1446.6805055781274,0.020123764929803008,0.004543343639471112,0.043183833671687155
O5,0.04263041295223062,0.043289647647336824,0.03809789383008803,1675.4387263250997,0.10045279120875665,0.02271318588453889,0.0
O6,0.04167638300753102,0.04372510490410156,0.037372867096966425,1552.6888978734205,0.03846693880992151,0.008700801380154851,0.0
