,CH4_50,N2O_50,NC_CO2_50,elec_50,NG_comb_50,NG_up_50,solids_50
B1,0.33828930894045206,0.043987750076345436,0.03773120844516771,1407.1104657548135,0.0,0.0,0.03217302698821384
B1E,0.34089122829620694,0.04453598315092548,0.03794379228687625,777.7539862584418,0.0,0.0,0.0323547773422132
B2,0.04006070776532979,0.04463592274031272,0.038014398429927085,1821.5842003916491,0.009293116864150923,0.0020952347478051863,0.031018349019522364
B3,0.04130517589658494,0.043580369267023605,0.03853814496364576,1337.4088371325147,0.020134086881061,0.004537530791869054,0.04327401058413978
B4,0.3389021488922883,0.044014149371131836,0.03837221573665257,1591.4652983515894,0.04057666463112802,0.009134985747727205,0.03198692724373173
B5,0.039529671681203804,0.04367604295275858,0.03775319874329518,1563.265303616238,0.09999024011835571,0.0224886987258776,0.0
B6,0.041392991427639164,0.04448855561736346,0.03791276814967691,1438.2005861918105,0.03874633914715357,0.008740258900974227,0.0
C1,0.3385910486816559,0.04458510374669078,0.03775103862199439,1659.096981847835,0.0,0.0,0.015948775006485085
C1E,0.34150770250725965,0.04421231848418829,0.03782203052081419,1107.418102464609,0.0,0.0,0.015972133175828823
C2,0.03915494906681106,0.044382884618578575,0.037972690215834354,1967.148220699735,0.009286062302121376,0.002097902195087526,0.0153712699271417
C3,0.038683235850581726,0.04417473150263872,0.03756798880566388,1570.0196858130705,0.022700957852679206,0.005127451912620244,0.02144859060014176
C5,0.041397998786784324,0.0442884607895856,0.037847046669603035,1795.9077771058815,0.10037488832695485,0.022574040481105867,0.0
C6,0.040461035265918356,0.04402788260815446,0.03810213549786694,1674.406587948316,0.03852520088046307,0.008686375058748051,0.0
D1,0.3379874191084562,0.044171907889757334,0.03797584926361154,1156.999931195463,0.0,0.0,0.03186431556115675
D1E,0.3380478305654798,0.043217847448787206,0.03780667292618293,700.3951568821882,0.0,0.0,0.03226907013530998
D2,0.040792257620648545,0.04433347261897032,0.03726969224773828,1450.598530307624,0.009282898583460545,0.0020970418617996455,0.030828774151737556
D3,0.04071096038039297,0.043921241427039806,0.038108495027770584,1053.2647513718239,0.020113196557925893,0.004538362780784842,0.04335221862512341
D5,0.04135352546006864,0.04357234244776826,0.03803068481125228,1286.8090369579663,0.0995710183333179,0.022458612216220065,0.0
D6,0.03972757260136977,0.04365309576783427,0.038159683795946454,1161.4271888585965,0.03827860695657295,0.008617000890896195,0.0
E2,0.03940201568858247,0.26485092508338387,0.038162219664828814,2136.4697421625856,0.00928303499226885,0.0020948496650779877,0.015294679696441594
E2P,0.04199117048884413,0.27145897497125326,0.03775862924433199,2077.4649632407486,0.009271682528235516,0.0020967486736650992,0.030670910774218334
F1,0.33715214033551455,0.26919128299160905,0.037855622538489966,1755.390048035483,0.0,0.0,0.03246247729166646
F1E,0.3432784106633563,0.2629161966339641,0.0382903179650643,1166.7084420527085,0.0,0.0,0.03197100544650307
G1,0.3394616330972156,0.23799624209763076,0.038034774337623825,2257.995960677479,0.14275780984501363,0.03217849688705156,0.03232694867099805
G1E,0.3406642054855342,0.23983743686289954,0.037860864431706345,1698.373329864835,0.1426332992347053,0.03217221162214797,0.03229323333020066
G2,0.0392465813378316,0.23683569706843488,0.038211684226714004,2634.409896767093,0.1514955892113216,0.03410313521005148,0.03065655017490359
