facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Alturas Municipal WWTP,205325,,2352,8355,10707,2112,
American Canyon Water Reclamation Facility (WRF) (formerly WWTP),205477,False,4149,9618,13767,3520,
American Valley WWTP,251217,True,5394,9101,14495,4480,
Anderson WPCP,205741,True,5596,9212,14808,4480,
Angels City WWTP,205793,True,5378,9017,14395,3968,
Arcata City WWTF,206164,True,4508,10727,15235,3520,
Atwater Regional WWTF,747519,True,6158,8646,14804,4928,
Auburn WWTP,206733,True,974,8522,9496,960,
Avalon WWTF,208276,True,5267,8747,14014,4352,
Bear Valley CSD WWTF,273161,True,6504,8935,15439,5568,
Bear Valley WWTF,209035,True,2995,8539,11534,2624,
Beaumont WWTP No. 1,259170,True,3638,8515,12153,3072,
Benicia WWTP,209253,True,2547,8359,10906,2304,
City of Biggs WWTP,209551,True,3074,8904,11978,2624,
Brawley City WWTP,210272,True,5706,8799,14505,4672,
Brentwood WWTP,210322,True,6295,9460,15755,5248,
Burbank WRP,212135,True,4011,9309,13320,3200,
Burlingame WWTP,210839,True,5907,8888,14795,4480,
Deuel Vocational Institution,219701,True,7677,9602,17279,5760,
CA Dept of Corrections Centinela WWTP,213850,True,4542,9048,13590,3776,
California Men's Colony WWTP,212681,True,3361,8920,12281,2816,
Forest Meadows WWRP,717684,True,4080,8463,12543,3456,
Copper Cove WWRF,255003,True,4119,9991,14110,3328,
Calexico City WWTP,212589,True,5172,8905,14077,4288,
Calipatria City WWTP,212739,True,4651,8900,13551,4160,
Camarillo WRP,216719,True,6821,9445,16266,5568,
Carpinteria SD WWTP,213332,True,3239,8475,11714,2816,
Oro Loma/Castro Valley SD WPCP,246217,True,6023,10572,16595,4672,
Cayucos SD WWTP,824400,True,5605,8709,14314,4480,
Central Contra Costa SD WWTP,213875,True,5399,8935,14334,4672,
Central Marin San. Agcy. WWTP,213889,True,5590,9761,15351,4224,
Chester STP,214199,True,5415,9283,14698,4864,
Chico Water Pollution Control Plant,271805,True,6092,9151,15243,4992,
Paso Robles WWTP,247750,True,6376,9334,15710,5056,
Calera Creek Water Recycling Plant,212585,True,4374,8795,13169,3264,
Clear Creek WWTP,214802,True,6991,8926,15917,5568,
Stillwater WWTF,258676,True,4598,8962,13560,4032,
Santa Cruz WWTP,255632,True,3123,8674,11797,2624,
Ventura WRF,271054,True,5703,9560,15263,4928,
Cloverdale City WWTP,214888,True,2773,8669,11442,2496,
Coachella SD WWTP,214933,True,8319,10278,18597,6464,
City of Colfax WWTP,215106,True,6976,10272,17248,5952,
"College of the Redwoods, POTW",215141,True,3422,8757,12179,2944,
Colton WRF,259146,,3896,8386,12282,2944,
"Colton/San Bernadino STP, RIX",259178,,2769,8239,11008,2368,
City of Colusa WWTP,215225,True,7259,8895,16154,5952,
City of Corning WWTP,215750,True,2538,8673,11211,2176,
Corona WWRF #3,259174,,3425,8174,11599,2880,
Country Life MHPRV Asset Partners LP WWTP,215925,True,5336,8857,14193,4416,
Crescent City WWTP,216106,True,6251,9872,16123,5056,
Port Costa WWTP,248886,True,3879,8932,12811,3328,
Cutler-Orosi WWTF,273166,True,5787,9297,15084,4608,
Cuyama CSD WWTP,216428,True,4026,8668,12694,3456,
Date Gardens MHP WWTP,219146,True,4871,8845,13716,4032,
City of Davis WWTP,219223,True,4803,8800,13603,4160,
Delta Diablo WWTP,219552,True,7762,9404,17166,5952,
Donner Summit PUD WWTP,220548,True,3998,8631,12629,3264,
Dublin San Ramon SD WWTP,220792,True,2128,11324,13452,2112,
EBDA Common Outfall,222123,True,2640,11387,14027,2560,
EBMUD SD#1-Wet Wthr Bypass,222130,True,3988,8867,12855,3520,
East Brother Light StationWWTP,223236,,3331,8328,11659,2880,
East County Advanced Water Purification (AWP) Project,897869,True,9327,9162,18489,8256,
Temescal Creek Outfall,259196,True,10517,9802,20319,8768,
El Centro City WWTP,222407,True,5650,9004,14654,4544,
Deer Creek WWTP,219398,True,5562,8564,14126,4288,
El Dorado Hills WWTP,222434,True,5631,9078,14709,4608,
EVMWD Regional WWRF,259214,True,3832,8668,12500,3392,
Vallecitos WD Meadowlark WRP,269989,True,2332,9839,12171,1792,
Encina Water Pollution Control Facility,222758,True,3785,9894,13679,3264,
Encina Ocean Outfall,222754,True,7147,9890,17037,5120,
Carlsbad WRF,213270,True,3380,9823,13203,3072,
HARRF DISCH to San Elijo Ocean Outfall,229726,True,7547,10457,18004,6144,
Fairfield-Suisun Sewer District Subregional WWTP,225526,True,2034,8383,10417,1856,
Fallbrook Water Reclamation Plant,224137,True,6069,9402,15471,4864,
Ferndale City POTW,224348,True,6803,9770,16573,5760,
Fort Bragg City WWTP,225055,True,5889,8873,14762,5184,
Fortuna City WWTP,225089,True,5891,9721,15612,4416,
Galt WWTP & Reclamation Facility,226690,True,5944,9548,15492,4672,
Goleta SD WWTP,227568,True,6704,8959,15663,5312,
Grass Valley City WWTP,227818,True,4393,8734,13127,3328,
Graton CSD,256050,True,7649,10046,17695,6464,
Hayward WPCF,229882,True,5417,10552,15969,4544,
Heber PUD WWTP,229967,True,6650,9239,15889,5376,
Heritage Ranch WWTP,230132,True,4213,8852,13065,3520,
Shelter Cove POTW,256749,True,3980,8766,12746,3328,
Imperial CCD WWTP,232259,True,4538,8988,13526,3840,
Imperial City WWTP,232297,True,4093,8905,12998,3072,
IEUA Regional Plant No. 4,742794,True,4895,9230,14125,4224,
IEUA Carbon Canyon WWRF,259184,True,4926,8527,13453,3392,
IEUA Regional Plant No. 5,259169,True,7603,9493,17096,6208,
Ironhouse WWTF,232656,True,7707,9376,17083,6656,
Los Alisos WD WWTP,758391,True,7167,10231,17398,5952,
Michelson WWRF,259156,True,9229,10022,19251,7744,
City of Jackson WWTP,214642,True,3913,8659,12572,3200,
A.K. Warren Water Resource Facility,234156,True,6339,9405,15744,4928,
White Point Outfall Manifold Construction Dewatering Project,840718,,1008,8471,9479,896,
Pomona Water Reclamation Plant,250700,True,4314,9137,13451,3712,
Los Coyotes WRP,238646,True,1973,8738,10711,1536,
Long Beach WRP,238562,True,3894,8657,12551,3328,
Las Gallinas WWTP,236598,True,2491,8363,10854,2240,
Tapia WRF,266940,True,8015,10155,18170,6592,
City of Lathrop Consolidated Treatment Facility,271781,True,9709,11018,20727,7296,
Lincoln City WWTF,238365,True,6152,8957,15109,4672,
Live Oak City WWTP,214647,True,7317,9887,17204,6016,
City of Livermore Water Reclamation Plant,237195,True,4355,9391,13746,4032,
White Slough Water Pollution Control Facility,272444,True,3019,8840,11859,2112,
Loleta WWTF,237295,True,1921,8552,10473,1792,
Lompoc City Regional Wastewater Reclamation Plant,237315,True,5207,9129,14336,4096,
Hyperion WWTP,232063,True,5607,8819,14426,4736,
Donald C. Tillman WWRP,267571,True,6958,9795,16753,5568,
Terminal Island Water Reclamation Plant,267130,True,5300,9832,15132,3968,
Los Angeles-Glendale WWRP,235738,True,4228,8613,12841,3520,
Valencia WRP,270849,True,5591,8799,14390,4352,
Malaga CWD WWTF,273180,True,4945,8672,13617,3840,
Marin CSD 5 - Tiburon WWTP,239497,True,2364,8383,10747,2112,
Mariposa WWTP,273207,True,4980,9134,14114,4288,
Maxwell PUD WWTF,239874,True,5364,9850,15214,4160,
Mendocino City CSD,240307,True,7430,8919,16349,6272,
Mendocino County WWD#2-Anchor Bay,240318,True,3366,8587,11953,3008,
Millbrae WPCP,240791,True,3104,8367,11471,2944,
North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,822960,True,7655,9286,16941,6272,
City of Modesto WQCF,241146,True,5981,9516,15497,4480,
Monterey One Water Regional WWTP,241740,True,5893,8963,14856,4928,
Napa Sanitation District WWTP (Soscol Water Recycling Facility),243858,True,6543,9199,15742,5696,
Cascade Shores WWTP,213432,True,6986,9485,16471,5632,
Lake Wildwood WWTP,236292,True,5718,9228,14946,4224,
